Headline,Summary,Link,Ticker,RetrievalScore,Sentiment
Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,JINDALSTEL.NS,0.535,negative
Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,SDBL.NS,0.534,negative
Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,IEX.NS,0.543,negative
Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,TIINDIA.NS,0.499,negative
Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,63MOONS.NS,0.487,negative
Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,IFCI.NS,0.48,negative
Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,CANFINHOME.NS,0.478,negative
"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,BDL.NS,0.528,negative
"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,PARAGMILK.NS,0.514,negative
"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,EKC.NS,0.51,negative
"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,GLAXO.NS,0.508,negative
"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,BEL.NS,0.507,negative
Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,CARERATING.NS,0.498,neutral
Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,CREDITACC.NS,0.485,neutral
Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,MAHABANK.NS,0.483,neutral
Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,CENTRALBK.NS,0.477,neutral
Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,CANFINHOME.NS,0.477,neutral
Market snaps 3-week gaining streak amid Indo-Pak war tensions,The Indian rupee ended lower against the US dollar as domestic currency slipped 81 to end at 85.37 per dollar on May 9 against the May 2 closing of 84.56.,https://www.moneycontrol.com/news/photos/business/markets/market-snaps-3-week-gaining-streak-amid-indo-pak-war-tensions-13019637.html,IEX.NS,0.539,negative
Market snaps 3-week gaining streak amid Indo-Pak war tensions,The Indian rupee ended lower against the US dollar as domestic currency slipped 81 to end at 85.37 per dollar on May 9 against the May 2 closing of 84.56.,https://www.moneycontrol.com/news/photos/business/markets/market-snaps-3-week-gaining-streak-amid-indo-pak-war-tensions-13019637.html,IOB.NS,0.52,negative
Market snaps 3-week gaining streak amid Indo-Pak war tensions,The Indian rupee ended lower against the US dollar as domestic currency slipped 81 to end at 85.37 per dollar on May 9 against the May 2 closing of 84.56.,https://www.moneycontrol.com/news/photos/business/markets/market-snaps-3-week-gaining-streak-amid-indo-pak-war-tensions-13019637.html,ICIL.NS,0.519,negative
Market snaps 3-week gaining streak amid Indo-Pak war tensions,The Indian rupee ended lower against the US dollar as domestic currency slipped 81 to end at 85.37 per dollar on May 9 against the May 2 closing of 84.56.,https://www.moneycontrol.com/news/photos/business/markets/market-snaps-3-week-gaining-streak-amid-indo-pak-war-tensions-13019637.html,MCX.NS,0.516,negative
Market snaps 3-week gaining streak amid Indo-Pak war tensions,The Indian rupee ended lower against the US dollar as domestic currency slipped 81 to end at 85.37 per dollar on May 9 against the May 2 closing of 84.56.,https://www.moneycontrol.com/news/photos/business/markets/market-snaps-3-week-gaining-streak-amid-indo-pak-war-tensions-13019637.html,INDUSINDBK.NS,0.513,negative
"Top 3 trade adjustments, explained by Shubham Agarwal",Trade Adjustments means modifications done to the original position to accommodate the move that happened after the trade was taken.,https://www.moneycontrol.com/news/trends/expert-columns/top-3-trade-adjustments-explained-by-shubham-agarwal-13019188.html,IEX.NS,0.489,neutral
"Top 3 trade adjustments, explained by Shubham Agarwal",Trade Adjustments means modifications done to the original position to accommodate the move that happened after the trade was taken.,https://www.moneycontrol.com/news/trends/expert-columns/top-3-trade-adjustments-explained-by-shubham-agarwal-13019188.html,BSE.NS,0.487,neutral
"Top 3 trade adjustments, explained by Shubham Agarwal",Trade Adjustments means modifications done to the original position to accommodate the move that happened after the trade was taken.,https://www.moneycontrol.com/news/trends/expert-columns/top-3-trade-adjustments-explained-by-shubham-agarwal-13019188.html,PTC.NS,0.484,neutral
